feature,importance,rank
text__draw,1.693706781346661,183
text__details account,1.6932275980250509,184
text__just don,1.6925931279624247,185
text__chase charges,1.6922364429832908,186
text__account explaining,1.692201596606491,187
text__regarding matter,1.6921499528489174,188
text__scanner,1.6914238442966496,189
text__report stolen,1.6910705026465958,190
text__information share,1.690888605560782,191
text__contact company,1.6889855120840915,192
text__provide credit,1.68760550299154,193
text__automatically applied,1.6864579137243059,194
text__teller branch,1.6863589537381833,195
text__used years,1.6809477002076174,196
text__reflect account,1.680525008860473,197
text__deposit atm,1.6804565488328511,198
text__deposit set,1.6785491633233516,199
text__return card,1.6766156849733844,200
text__hello thank,1.6735322168165114,201
text__came stated,1.6728222762220526,202
text__week told,1.6718912557907477,203
text__know getting,1.6689739511238684,204
text__cover pending,1.6686229353343973,205
text__used link,1.66817965859535,206
text__tell transfer,1.6681041378390917,207
text__proof delivery,1.665606878674021,208
text__claim notified,1.6644069427098127,209
text__day need,1.6626202042957754,210
text__dispute pnc,1.661443907722774,211
text__help matter,1.6604865744821453,212
text__crooked,1.6604220532501288,213
text__ira cd,1.6603000085411475,214
text__asked legal,1.659914648609558,215
text__citizensbank,1.6597314187767884,216
text__fargo regarding,1.658057564488797,217
text__company got,1.6577385905946456,218
text__year customer,1.6564142453249076,219
text__logic,1.6549381272131187,220
text__different things,1.652205744242345,221
text__bank met,1.6501621534115507,222
text__atm froze,1.6477612038867315,223
text__just given,1.6474262289755273,224
text__time times,1.646754557193331,225
text__immediately want,1.644697762832962,226
text__funds stated,1.6428256759955842,227
text__fraud customers,1.6412124696109174,228
text__fulfilled requirement,1.6406191264626553,229
text__america regarding,1.6389296172594794,230
text__service filed,1.6388021513979032,231
text__representative advised,1.6376666406415865,232
text__just fine,1.6373793715579226,233
text__immediate help,1.636156124893477,234
text__make change,1.635906887870383,235
text__chase let,1.6357198169700655,236
text__friend bank,1.6341174914065661,237
text__withdrawals occurred,1.63374302084364,238
text__want reimbursed,1.6336190286759753,239
text__fraudulent act,1.632747463451701,240
text__resolution spoke,1.6319145761854892,241
text__broken promises,1.6309862422538595,242
text__just asked,1.6309768594880252,243
text__calls customer,1.6306493505174677,244
text__time waiting,1.6300698284881343,245
text__times did,1.6275170230005205,246
text__know time,1.6275152041667487,247
text__days thats,1.627113700003695,248
text__funds fraudulently,1.6265359230101957,249
text__il il,1.623882867772001,250
text__imposed,1.6233886186687572,251
text__transfer sent,1.621477803699871,252
text__getting ready,1.621193707117831,253
text__tests,1.6194219490982757,254
text__boa atm,1.6184493475446113,255
text__mail today,1.6181668038091763,256
text__left accounts,1.6164181176484098,257
text__lost car,1.6146407762555273,258
text__teller said,1.6141596016580941,259
text__conjunction,1.6141346755060761,260
text__posted debit,1.6129110143661245,261
text__asked case,1.6128931556509274,262
text__card information,1.6124470305310652,263
text__recorded line,1.6107626373411048,264
text__snow,1.6106090795187857,265
text__months time,1.6083949790588694,266
text__proof deposits,1.6067757528932054,267
text__letter information,1.6055397682431731,268
text__paid debit,1.6051649668237478,269
text__account wiped,1.604676923249376,270
text__banking app,1.604087682035134,271
text__used capital,1.6039572260129755,272
text__old number,1.6037476734039016,273
text__pay items,1.6030778471066998,274
text__case received,1.6027179346618303,275
text__number showing,1.6023093369677996,276
text__opened claim,1.6022088283330056,277
text__asking send,1.6015185439006028,278
text__won dispute,1.5995254224968867,279
text__usps money,1.5994122208824222,280
text__accounts told,1.598010621342268,281
text__card direct,1.5979334696115117,282
text__charge,1.5974406036213074,283
text__closed today,1.5965314167322784,284
text__reported theft,1.5962935677573395,285
text__closed citi,1.5955281856269061,286
text__prey,1.594927269612914,287
text__legal process,1.5946026368792257,288
text__asked denied,1.5933599779190586,289
text__account realizing,1.5929435924830557,290
text__transaction cleared,1.5924728626462012,291
text__bbva compass,1.5924108343326633,292
text__instead investigating,1.5922702621101206,293
text__receive emails,1.5916389459909497,294
text__builder account,1.5907096616873941,295
text__going received,1.5891036144562856,296
text__withdrawal said,1.588357451895931,297
text__account plan,1.587736014950879,298
text__sole beneficiary,1.5867744386310314,299
text__banks fraud,1.5866045971475158,300
text__online able,1.5858610293666282,301
text__xxxxt,1.585631901291577,302
text__cost lot,1.585226174274532,303
text__given funds,1.5841806841131072,304
text__explanation denial,1.5833267486117955,305
text__did fix,1.5828985578677761,306
text__number lady,1.5810863738836614,307
text__working asked,1.5793591907076365,308
text__end result,1.57905607551473,309
text__stonewalled,1.5770334977789204,310
text__letter notifying,1.5770321772689744,311
text__time available,1.5761045532203828,312
text__leaving access,1.5748868047574072,313
text__advised rep,1.5729088251226435,314
text__decided pay,1.5715592501289506,315
text__fees informed,1.5704445027292275,316
text__fargo accounts,1.569930063880784,317
text__help case,1.5693953580179136,318
text__charging month,1.5680004988205758,319
text__cash bonus,1.5671469781028298,320
text__claim deposited,1.5668613965354994,321
text__transaction credit,1.5656795927713683,322
text__resolution provided,1.5632288322526302,323
text__need hold,1.5613170515216113,324
text__times requesting,1.5610512204503797,325
text__months contacted,1.560557051467005,326
text__america denying,1.5600902576101352,327
text__paper statement,1.559993657245133,328
text__said come,1.5578928058528676,329
text__money contacted,1.5578134841554092,330
text__believe fair,1.5576707086730917,331
text__fees chase,1.557364030664588,332
text__provided written,1.5554449889081314,333
text__deposits branch,1.5532028740474013,334
text__company held,1.5531089989544424,335
text__restore funds,1.5530244938772522,336
text__agrees,1.551523427572538,337
text__needs paid,1.551422418343383,338
text__took cash,1.5488005657943373,339
text__dispute paypal,1.5486287051477072,340
text__finally talked,1.5485857928327378,341
text__help resolved,1.5484205707642473,342
text__corporate offices,1.5483214434841728,343
text__credit atm,1.5480420899634304,344
text__annual fee,1.5456743597352298,345
text__florida,1.5451609674103821,346
text__bounced bank,1.5451205094644709,347
text__reported issue,1.5450030735496738,348
text__tracking information,1.5423266108770948,349
text__received fund,1.5422984818968648,350
text__fraud day,1.5419164190885066,351
text__like make,1.5418411518123185,352
text__air,1.5409907814270345,353
text__bank canceled,1.540508075736668,354
text__funds restored,1.5393707092167954,355
text__timeframes,1.5393185921531065,356
text__payments late,1.5386583909854927,357
text__drained account,1.5383247603611934,358
text__chase needs,1.5375689507279382,359
text__company charge,1.5367046948162875,360
text__immediately happened,1.5357484275917628,361
text__medicine,1.535655928546168,362
text__accounts receive,1.5356446245422986,363
text__accounts started,1.5354290179488033,364
text__fees ve,1.5348474916932004,365
text__california time,1.5332050405084603,366
text__bank kept,1.5331315471923161,367
text__account type,1.5319791424173708,368
text__bank date,1.5312036765012615,369
text__time immediately,1.5310261934272815,370
text__checks got,1.5298204813768705,371
text__linking accounts,1.5296584202406562,372
text__deposit goes,1.5286701447826254,373
text__food money,1.5282051450816263,374
text__reach capital,1.5278725899331982,375
text__fees credit,1.5271459208497264,376
text__told review,1.5268530432701535,377
text__tracking number,1.5259037826804907,378
text__complexity,1.5248633787029242,379
text__operation,1.5245292930861063,380
text__protective,1.523956959605888,381
text__seas,1.5239476198961868,382
text__stating provisional,1.5236191242742725,383
text__account nsf,1.5225544819243386,384
text__deposit charged,1.522494604029929,385
text__investigation did,1.5206479698335298,386
text__charged credit,1.5204307995003004,387
text__miles away,1.5203310499746991,388
text__allowed talk,1.520082240301039,389
text__checks provided,1.519685288428848,390
text__credit second,1.518807022875792,391
text__atm received,1.5185519562617487,392
text__supplemental,1.5182842852254366,393
text__request email,1.5168285291701586,394
text__america filed,1.5165416245168664,395
text__accounts ending,1.515613695094127,396
text__notification mail,1.5155932427522023,397
text__cash offer,1.5151780472880028,398
text__check attorney,1.5148111628215661,399
text__case today,1.5148057251428848,400
text__email associated,1.514639383303521,401
text__funds thank,1.5144683447368243,402
text__representative td,1.512922296969444,403
text__paypal said,1.5105781217993741,404
text__work hours,1.5105546220846373,405
text__want fees,1.5095525885431298,406
text__airport,1.5083603386024271,407
text__refusing assist,1.508276344953687,408
text__hanging phone,1.5080008383609491,409
text__didn said,1.5074035361218494,410
text__account negatives,1.507332280894775,411
text__formal written,1.5073215433788159,412
text__robbed,1.5063116647403645,413
text__confirmed did,1.5062442420498658,414
text__didn qualify,1.504906708047756,415
text__revealed,1.5048599051271636,416
text__money reversed,1.5044329096588236,417
text__complaint like,1.5032612018898657,418
text__complaint case,1.5026977559574624,419
text__type fraud,1.5021782127052594,420
text__fraud block,1.5020874943401812,421
text__calls attempts,1.5009276824105424,422
text__did thorough,1.5006831254353143,423
text__charged different,1.4997092305286324,424
text__account authorized,1.498517925134758,425
text__sold home,1.49795143653175,426
text__boa did,1.4972720472843573,427
text__contacted banker,1.4957410462310925,428
text__shows negative,1.4956615063031637,429
text__lack protection,1.495653301573241,430
text__posted overdraft,1.4954826340932001,431
text__regarding wells,1.4942548380794185,432
text__telling money,1.493753500111085,433
text__original purchase,1.4918004197834,434
text__consecutive,1.4915538631842198,435
text__immediately explained,1.491094680349326,436
text__citibank,1.4909055662075215,437
text__bank american,1.4906742433304832,438
text__said happened,1.4904121310768816,439
text__fraud despite,1.4903260538872531,440
text__account unbeknownst,1.4885509642477113,441
text__contact maker,1.488322519737263,442
text__deny fraud,1.487657904712629,443
text__went mobile,1.4876438584082115,444
text__dispute navy,1.4865322821859723,445
text__times kept,1.4863750152672346,446
text__account reopen,1.4863119965688036,447
text__ach account,1.485269963590726,448
text__problem like,1.484841911296184,449
text__additional steps,1.4844040268817953,450
text__direct phone,1.4843324162518396,451
text__took took,1.4838007780815692,452
text__afterpay,1.4836324224682398,453
text__information cfpb,1.4834854504271562,454
text__hoping able,1.4822390575269164,455
text__claim refuse,1.482030736195646,456
text__money invested,1.48185009287548,457
text__investigation refused,1.481121682474303,458
text__did complain,1.4792746469056615,459
text__cashes,1.4785198272372646,460
text__problem thank,1.4783558541804,461
text__told irs,1.4776024714982077,462
text__experian,1.4775945077673187,463
text__speak manager,1.4774320202784639,464
text__finally sent,1.477236246605139,465
text__requested year,1.476093697214044,466
text__believe owed,1.475652763633001,467
text__non stop,1.4756126422722542,468
text__showing paid,1.4742474427331007,469
text__phone ended,1.4739012146246302,470
text__log bank,1.4738200693408448,471
text__repeatedly tried,1.4734044639502786,472
text__incentives,1.4730664368714663,473
text__claim need,1.472288083771766,474
text__security check,1.4721227369368768,475
text__fee spoke,1.4720220819090557,476
text__america provide,1.4717734975425112,477
text__tell exactly,1.4711537284373297,478
text__corrupt,1.4709855345643454,479
text__followed told,1.4702655182362623,480
text__preventing accessing,1.4698149676414527,481
text__basically just,1.4689438114101818,482
text__actions taken,1.4689018324097054,483
text__today deposited,1.468533025383494,484
text__remain account,1.4683776721773336,485
text__deposit review,1.4682883103673952,486
text__situation right,1.4677229222176278,487
text__complaint date,1.4674789765857954,488
text__check payee,1.4674389073016771,489
text__equivalent,1.467064410262628,490
text__continue using,1.4670259233524963,491
text__delivered address,1.4668662548373173,492
text__account late,1.4663115796294726,493
text__transaction charged,1.4661207222139956,494
text__charge transaction,1.466100164627332,495
text__merchant days,1.46566353097442,496
text__help told,1.4649013966683155,497
text__report tried,1.4648239282113367,498
text__account transfers,1.464222420606487,499
text__additional fraudulent,1.4640541377897387,500
