precision,recall,threshold
0.12727378392514674,1.0,0.00270773
0.12727748234678754,1.0,0.003110225
0.1272811809833779,1.0,0.0039211954
0.1272848798349365,1.0,0.0050362404
0.12728857890148212,1.0,0.005076741
0.1272922781830335,1.0,0.005312626
0.1272959776796094,1.0,0.005514329
0.12729967739122852,1.0,0.005646525
0.12730337731790967,1.0,0.005751607
0.12730707745967157,1.0,0.0058263196
0.12731077781653297,1.0,0.006024455
0.12731447838851262,1.0,0.0064230585
0.12731817917562932,1.0,0.0064251004
0.1273218801779018,1.0,0.006497873
0.12732558139534883,1.0,0.006680294
0.1273292828279892,1.0,0.006809734
0.12733298447584163,1.0,0.0069049858
0.1273366863389249,1.0,0.00696103
0.1273403884172578,1.0,0.006976469
0.12734409071085914,1.0,0.0070015807
0.12734779321974762,1.0,0.0070383092
0.12735149594394207,1.0,0.00705592
0.12735519888346128,1.0,0.0070661404
0.12735890203832398,1.0,0.0071531953
0.127362605408549,1.0,0.007154069
0.1273663089941551,1.0,0.0071813576
0.1273700127951611,1.0,0.0072119795
0.12737371681158577,1.0,0.0072515407
0.1273774210434479,1.0,0.0073544057
0.12738112549076633,1.0,0.007357933
0.1273848301535598,1.0,0.0073830197
0.12738853503184713,1.0,0.0074643483
0.12739224012564715,1.0,0.007514887
0.12739594543497862,1.0,0.0076008355
0.1273996509598604,1.0,0.0076381713
0.12740335670031125,1.0,0.007642173
0.12740706265635,1.0,0.007689394
0.12741076882799546,1.0,0.007722512
0.12741447521526647,1.0,0.007824549
0.12741818181818182,1.0,0.007916964
0.12742188863676035,1.0,0.007934533
0.12742559567102085,1.0,0.007955275
0.1274293029209822,1.0,0.007973853
0.1274330103866632,1.0,0.007984583
0.12743671806808263,1.0,0.007999138
0.1274404259652594,1.0,0.0080034295
0.12744413407821228,1.0,0.008032925
0.12744784240696017,1.0,0.008071511
0.12745155095152186,1.0,0.008091013
0.12745525971191618,1.0,0.008100907
0.12745896868816203,1.0,0.008120537
0.1274626778802782,1.0,0.008123618
0.12746638728828358,1.0,0.008173278
0.12747009691219696,1.0,0.008287306
0.12747380675203726,1.0,0.008306967
0.12747751680782327,1.0,0.008314634
0.1274812270795739,1.0,0.00834277
0.12748493756730797,1.0,0.008381884
0.12748864827104436,1.0,0.008432651
0.12749235919080193,1.0,0.008435882
0.12749607032659951,1.0,0.008457543
0.12749978167845602,1.0,0.008494259
0.12750349324639032,1.0,0.008520438
0.12750720503042123,1.0,0.008546734
0.1275109170305677,1.0,0.008572346
0.12751462924684853,1.0,0.00861952
0.12751834167928264,1.0,0.008644566
0.1275220543278889,1.0,0.008681339
0.12752576719268618,1.0,0.008692114
0.1275294802736934,1.0,0.008717077
0.12753319357092943,1.0,0.008738512
0.12753690708441312,1.0,0.008740769
0.12754062081416342,1.0,0.00875902
0.1275443347601992,1.0,0.00878289
0.12754804892253932,1.0,0.008810864
0.12755176330120271,1.0,0.00886062
0.12755547789620827,1.0,0.008886193
0.12755919270757493,1.0,0.008948241
0.12756290773532153,1.0,0.008984546
0.12756662297946703,1.0,0.008989085
0.1275703384400303,1.0,0.009009863
0.12757405411703027,1.0,0.009028842
0.12757777001048584,1.0,0.00904839
0.12758148612041595,1.0,0.00908302
0.1275852024468395,1.0,0.009167941
0.1275889189897754,1.0,0.009185123
0.1275926357492426,1.0,0.0092374105
0.12759635272526,1.0,0.009263742
0.12760006991784653,1.0,0.009287079
0.12760378732702113,1.0,0.009302807
0.1276075049528027,1.0,0.00934434
0.1276112227952102,1.0,0.009351304
0.12761494085426256,1.0,0.009355077
0.12761865912997872,1.0,0.009365751
0.12762237762237763,1.0,0.009366144
0.1276260963314782,1.0,0.009369888
0.12762981525729938,1.0,0.0093721375
0.12763353439986014,1.0,0.009455782
0.1276372537591794,1.0,0.00950305
0.12764097333527613,1.0,0.00951536
0.12764469312816926,1.0,0.009531544
0.12764841313787778,1.0,0.009549057
0.1276521333644206,1.0,0.009551718
0.12765585380781674,1.0,0.009566928
0.1276595744680851,1.0,0.009574065
0.12766329534524468,1.0,0.009586806
0.12766701643931444,1.0,0.009594483
0.12767073775031335,1.0,0.009606729
0.12767445927826035,1.0,0.009609017
0.12767818102317446,1.0,0.009617524
0.12768190298507462,1.0,0.009618201
0.12768562516397983,1.0,0.009623049
0.12768934755990904,1.0,0.009654908
0.12769307017288126,1.0,0.009721528
0.12769679300291545,1.0,0.00973901
0.1277005160500306,1.0,0.009739047
0.12770423931424574,1.0,0.00974217
0.12770796279557978,1.0,0.009744024
0.1277116864940518,1.0,0.009747434
0.1277154104096807,1.0,0.009789477
0.12771913454248557,1.0,0.009806404
0.12772285889248536,1.0,0.009818149
0.12772658345969906,1.0,0.009828715
0.1277303082441457,1.0,0.009832395
0.12773403324584426,1.0,0.009833453
