feature,importance,rank
geo_cat__Company_PENTAGON FEDERAL CREDIT UNION,0.0026557501,107
"geo_cat__Company_SUNTRUST BANKS, INC.",0.002644473,108
geo_cat__State_IA,0.0026067188,109
geo_cat__State_MD,0.0026011113,110
geo_cat__Company_EAST WEST BANK,0.00257659,111
"geo_cat__Company_UPGRADE, INC.",0.002570427,112
geo_cat__State_ID,0.002567818,113
topic_cat__company_primary_topic_0.0,0.0025354666,114
geo_cat__State_SC,0.0025198867,115
geo_cat__State_MS,0.0025119241,116
"geo_cat__Company_FIRST MIDWEST BANCORP, INC.",0.0025034063,117
geo_cat__Company_SUNCOAST CREDIT UNION,0.0024974402,118
geo_cat__Company_BARCLAYS BANK DELAWARE,0.0024960055,119
geo_cat__Company_BMO BANK NATIONAL ASSOCIATION,0.0024938812,120
geo_cat__State_AL,0.0024630523,121
geo_cat__Company_BOK FINANCIAL CORP,0.0024429795,122
"geo_cat__Company_Affirm Holdings, Inc",0.002433048,123
geo_cat__Company_Indie Technology DBA Found,0.0023979729,124
geo_cat__State_NJ,0.0023948292,125
geo_cat__Company_CapitalJ Inc. dba Juno,0.002389608,126
geo_cat__State_MI,0.0023634117,127
geo_cat__Company_UMB FINANCIAL CORPORATION,0.0023592634,128
geo_cat__State_UT,0.0023487494,129
geo_cat__State_RI,0.0023290848,130
num__paragraph_count,0.002296841,131
geo_cat__State_NM,0.0022915937,132
num__question_mark_count,0.0022863117,133
num__caps_ratio,0.002281221,134
geo_cat__Company_OLD NATIONAL BANCORP,0.0022628375,135
geo_cat__State_CO,0.0022412795,136
num__flesch_kincaid,0.0022404226,137
geo_cat__State_AE,0.0022076508,138
num__exclamation_count,0.002195639,139
geo_cat__Company_HANCOCK WHITNEY BANK,0.002174318,140
geo_cat__State_MO,0.0021635073,141
num__negative_emotion_count,0.0021621247,142
num__avg_word_len,0.0021539456,143
"geo_cat__Company_BANKMOBILE TECHNOLOGIES, INC",0.0021506557,144
geo_cat__Company_SIMMONS FIRST NATIONAL CORPORATION,0.0021502443,145
"geo_cat__Company_FIRST HAWAIIAN, INC.",0.002144915,146
num__avg_sentence_len,0.0021399998,147
num__contact_attempt_count,0.0021391,148
num__quoted_speech_count,0.0021124447,149
num__lexical_diversity,0.0021076987,150
geo_cat__Company_Conduent Incorporated,0.002107111,151
geo_cat__Company_BANK OZK,0.002097626,152
"geo_cat__Company_Flagstar Bank, N.A.",0.0020936225,153
geo_cat__Company_MUFG AMERICAS HOLDINGS CORPORATION,0.002088786,154
"geo_cat__Company_CENTRAL BANCOMPANY, INC",0.00208147,155
geo_cat__Company_WSFS FINANCIAL CORPORATION,0.0020736265,156
geo_cat__State_NC,0.002063789,157
geo_cat__State_LA,0.0020194417,158
geo_cat__Company_NBT BANCORP INC.,0.002014815,159
num__word_count,0.0019632361,160
geo_cat__Company_First Technology Federal Credit Union,0.00195228,161
geo_cat__State_VA,0.0019388242,162
"geo_cat__Company_FIRST INTERSTATE BANCSYSTEM, INC.",0.0019374588,163
geo_cat__Company_Google Compare Credit Cards Inc.,0.001916795,164
"geo_cat__Company_WESBANCO BANK, INC.",0.0018949362,165
"geo_cat__Company_APPLE FINANCIAL HOLDINGS, INC.",0.0018746412,166
num__escalation_person_count,0.0018668283,167
geo_cat__Company_Synovus Bank,0.0018548046,168
"geo_cat__Company_TEXAS CAPITAL BANCSHARES, INC.",0.0018269011,169
geo_cat__Company_N26 Inc.,0.0018051554,170
num__date_count,0.0018037877,171
geo_cat__Company_E*TRADE BANK,0.0017935294,172
geo_cat__State_Unknown,0.0017690304,173
geo_cat__State_CT,0.0017688691,174
geo_cat__State_NY,0.0017629262,175
geo_cat__Company_U.S. BANK NATIONAL ASSOCIATION - SAN FRANCISCO MAIN BRANCH,0.0017391887,176
geo_cat__State_AZ,0.0017381529,177
geo_cat__Company_FIRSTBANK,0.001737056,178
geo_cat__Company_GLOBAL CREDIT UNION,0.0017366204,179
geo_cat__State_AR,0.0017191806,180
geo_cat__State_GA,0.0016889769,181
geo_cat__State_WA,0.0016471541,182
geo_cat__Company_FourLeaf Federal Credit Union,0.00162869,183
geo_cat__State_WY,0.0016074642,184
geo_cat__Company_Bright Capital Inc,0.0015924632,185
"geo_cat__Company_Atlantic Union Bankshares, Inc.",0.0015876268,186
"geo_cat__Company_Branch Messenger, Inc.",0.0015705061,187
geo_cat__Company_M1 Holdings Inc.,0.0015601378,188
geo_cat__Company_BUSEY BANK,0.0015557688,189
geo_cat__State_DE,0.0015399596,190
geo_cat__Company_STERLING BANCORP,0.001528131,191
geo_cat__Company_OCEANFIRST FINANCIAL CORP.,0.0015219047,192
geo_cat__Company_FIRST FINANCIAL BANCORP,0.0015131371,193
geo_cat__State_PA,0.0015060343,194
geo_cat__State_NV,0.0015045133,195
"geo_cat__Company_Skrill USA, Inc.",0.0014944156,196
"geo_cat__Company_BREMER BANK, NATIONAL ASSOCIATION",0.0014912701,197
geo_cat__State_IL,0.0014860316,198
geo_cat__Company_BEACON FINANCIAL CORPORATION,0.0014850685,199
geo_cat__State_KS,0.0014817064,200
