fpr,tpr,threshold
0.0,0.0,inf
3.329559832190184e-05,0.0,0.971538245677948
6.659119664380368e-05,0.0,0.9608222842216492
6.659119664380368e-05,0.0018264840182648401,0.954289972782135
9.988679496570554e-05,0.0018264840182648401,0.9528599381446838
9.988679496570554e-05,0.002511415525114155,0.9511201977729797
0.00013318239328760737,0.002511415525114155,0.9506409764289856
0.00013318239328760737,0.0027397260273972603,0.9504947066307068
0.0001664779916095092,0.0027397260273972603,0.9500846266746521
0.0001664779916095092,0.0031963470319634705,0.9495700597763062
0.00019977358993141108,0.0031963470319634705,0.9495162963867188
0.00019977358993141108,0.003424657534246575,0.9494149684906006
0.00023306918825331292,0.003424657534246575,0.9493578672409058
0.00023306918825331292,0.0043378995433789955,0.9475865960121155
0.00026636478657521474,0.0043378995433789955,0.947508692741394
0.00026636478657521474,0.005251141552511416,0.9465684294700623
0.0003329559832190184,0.005251141552511416,0.9458613395690918
0.0003329559832190184,0.005479452054794521,0.9457783102989197
0.0003662515815409203,0.005479452054794521,0.9455666542053223
0.0003662515815409203,0.005707762557077625,0.9454076886177063
0.00039954717986282216,0.005707762557077625,0.9453331232070923
0.00039954717986282216,0.006392694063926941,0.9443919658660889
0.000432842778184724,0.006392694063926941,0.9443303942680359
0.000432842778184724,0.006621004566210046,0.9439224600791931
0.00046613837650662585,0.006621004566210046,0.9438089728355408
0.00046613837650662585,0.007077625570776256,0.941993236541748
0.0005327295731504295,0.007077625570776256,0.9416201710700989
0.0005327295731504295,0.0073059360730593605,0.9415766596794128
0.000632616368116135,0.0073059360730593605,0.9410684704780579
0.000632616368116135,0.007534246575342466,0.9408091306686401
0.0006992075647599388,0.007534246575342466,0.9402887225151062
0.0006992075647599388,0.007762557077625571,0.9402519464492798
0.0007325031630818406,0.007762557077625571,0.939197301864624
0.0007325031630818406,0.0091324200913242,0.9377676248550415
0.0007657987614037424,0.0091324200913242,0.9376351237297058
0.0007657987614037424,0.009360730593607305,0.9372313022613525
0.0007990943597256443,0.009360730593607305,0.9372003674507141
0.0007990943597256443,0.009589041095890411,0.9371264576911926
0.000865685556369448,0.009589041095890411,0.9361905455589294
