precision,recall,threshold
0.15345053029202382,1.0,0.0012686
0.15345498924856163,1.0,0.002216048
0.15345944846424317,1.0,0.0023548007
0.153463907939091,1.0,0.002425611
0.15346836767312777,1.0,0.0026084078
0.15347282766637604,1.0,0.002691389
0.15347728791885845,1.0,0.0027473308
0.15348174843059753,1.0,0.0032395164
0.15348620920161596,1.0,0.0033721607
0.1534906702319363,1.0,0.0033996303
0.15349513152158117,1.0,0.0035010537
0.15349959307057318,1.0,0.0035458072
0.15350405487893498,1.0,0.0035930069
0.15350851694668916,1.0,0.0036105474
0.15351297927385832,1.0,0.0037285946
0.15351744186046512,1.0,0.0037810167
0.15352190470653215,1.0,0.003849217
0.1535263678120821,1.0,0.0038836724
0.15353083117713753,1.0,0.00403924
0.15353529480172112,1.0,0.0041323057
0.1535397586858555,1.0,0.0042285346
0.1535442228295633,1.0,0.004270454
0.15354868723286716,1.0,0.004286272
0.15355315189578972,1.0,0.0043310164
0.15355761681835364,1.0,0.004336422
0.15356208200058155,1.0,0.0043696887
0.15356654744249615,1.0,0.0043986216
0.15357101314412006,1.0,0.0044200295
0.1535754791054759,1.0,0.00450758
0.1535799453265864,1.0,0.004564703
0.1535844118074742,1.0,0.004627877
0.15358887854816194,1.0,0.00464455
0.15359334554867232,1.0,0.004668186
0.15359781280902798,1.0,0.0047270996
0.15360228032925163,1.0,0.004783887
0.15360674810936592,1.0,0.0048297355
0.15361121614939352,1.0,0.0048958464
0.15361568444935714,1.0,0.004967128
0.15362015300927945,1.0,0.0050283256
0.15362462182918316,1.0,0.0050473106
0.1536290909090909,1.0,0.0050648665
0.1536335602490254,1.0,0.005116879
0.1536380298490094,1.0,0.005137856
0.15364249970906552,1.0,0.0051811826
0.1536469698292165,1.0,0.0051941336
0.153651440209485,1.0,0.005205524
0.1536559108498938,1.0,0.005232315
0.15366038175046554,1.0,0.005263623
0.15366485291122298,1.0,0.0052809184
0.1536693243321888,1.0,0.005282682
0.1536737960133857,1.0,0.005289203
0.15367826795483647,1.0,0.005334378
0.15368274015656375,1.0,0.0053578326
0.1536872126185903,1.0,0.005391789
0.15369168534093886,1.0,0.0054328637
0.15369615832363212,1.0,0.005479841
0.15370063156669286,1.0,0.0054891263
0.1537051050701438,1.0,0.0054940116
0.15370957883400763,1.0,0.0055475673
0.15371405285830714,1.0,0.0055784783
0.15371852714306505,1.0,0.0056155855
0.15372300168830413,1.0,0.005622923
