precision,recall,threshold
0.15345053029202382,1.0,0.00543442
0.15345498924856163,1.0,0.0060063307
0.15345944846424317,1.0,0.006108287
0.153463907939091,1.0,0.006301026
0.15346836767312777,1.0,0.0075715748
0.15347282766637604,1.0,0.007674984
0.15347728791885845,1.0,0.008798312
0.15348174843059753,1.0,0.008870018
0.15348620920161596,1.0,0.008935737
0.1534906702319363,1.0,0.008952019
0.15349513152158117,1.0,0.008960539
0.15349959307057318,1.0,0.009601037
0.15350405487893498,1.0,0.009632502
0.15350851694668916,1.0,0.009957009
0.15351297927385832,1.0,0.010386118
0.15351744186046512,1.0,0.010710949
0.15352190470653215,1.0,0.011766748
0.1535263678120821,1.0,0.011767851
0.15353083117713753,1.0,0.01201268
0.15353529480172112,1.0,0.012062289
0.1535397586858555,1.0,0.012251254
0.1535442228295633,1.0,0.012726812
0.15354868723286716,1.0,0.013069351
0.15355315189578972,1.0,0.013311175
0.15355761681835364,1.0,0.013311431
0.15356208200058155,1.0,0.013485208
0.15356654744249615,1.0,0.013636009
0.15357101314412006,1.0,0.013881965
0.1535754791054759,1.0,0.01393131
0.1535799453265864,1.0,0.014177524
0.1535844118074742,1.0,0.014308736
0.15358887854816194,1.0,0.014407888
0.15359334554867232,1.0,0.014489996
0.15359781280902798,1.0,0.014530907
0.15360228032925163,1.0,0.014851274
0.15360674810936592,1.0,0.015043886
0.15361121614939352,1.0,0.015069946
0.15361568444935714,1.0,0.015223423
0.15362015300927945,1.0,0.015290587
0.15362462182918316,1.0,0.015326866
0.1536290909090909,1.0,0.015405077
0.1536335602490254,1.0,0.0155274365
0.1536380298490094,1.0,0.015568088
0.15364249970906552,1.0,0.0155788725
0.1536469698292165,1.0,0.015856333
0.153651440209485,1.0,0.01597445
0.1536559108498938,1.0,0.016237918
0.15366038175046554,1.0,0.016357819
0.15366485291122298,1.0,0.016705658
0.1536693243321888,1.0,0.016719928
0.1536737960133857,1.0,0.016930383
0.15367826795483647,1.0,0.017115366
0.15368274015656375,1.0,0.017486505
0.1536872126185903,1.0,0.017492373
0.15369168534093886,1.0,0.017517976
0.15369615832363212,1.0,0.01762127
0.15370063156669286,1.0,0.017689085
0.1537051050701438,1.0,0.017743537
0.15370957883400763,1.0,0.017852886
0.15371405285830714,1.0,0.017954966
0.15371852714306505,1.0,0.018024975
0.15374537832251303,1.0,0.01804752
0.1537498544311168,1.0,0.018284792
0.15375433080036102,1.0,0.018353304
0.15423931773708344,1.0,0.018521892
0.15424382265319236,1.0,0.01852262
0.15424832783246195,1.0,0.018526474
0.1542528332749153,1.0,0.018560696
0.1542663511816084,1.0,0.018621806
0.15427085767702733,1.0,0.018677594
0.1542933941040699,1.0,0.018749451
0.15429790217962952,1.0,0.018797103
0.15430241051862673,1.0,0.018814256
0.15435653114313272,1.0,0.018943759
0.15436104290892086,1.0,0.018963505
0.15437006723180358,1.0,0.01897607
0.15437457978894442,1.0,0.018987201
0.1543790926099158,1.0,0.019003222
0.15438360569474086,1.0,0.019247059
0.15438811904344268,1.0,0.019308591
0.15444681659988888,1.0,0.019397518
0.15445133364529715,1.0,0.019448113
0.15445585095492967,1.0,0.019463904
0.1544603685288096,1.0,0.019469738
0.15446488636696012,1.0,0.019494865
0.1544784414672673,1.0,0.019678816
0.15448296036273218,1.0,0.01970936
0.15448747952258365,1.0,0.019736677
0.15449199894684493,1.0,0.019749628
0.15449651863553918,1.0,0.019793052
0.1545055588063195,1.0,0.019893553
0.15451007928845198,1.0,0.019936232
0.1545146000351103,1.0,0.0199472
0.15452364232209737,1.0,0.019959383
0.15452816386247256,1.0,0.020064002
0.1545326856674665,1.0,0.020140402
0.1545372077371024,1.0,0.020151405
0.15454173007140348,1.0,0.02015664
0.15454625267039301,1.0,0.020315506
0.15455982205572466,1.0,0.020340841
0.15457339382408897,1.0,0.020373167
0.15458696797611382,1.0,0.02042855
0.1545914932232663,1.0,0.020466154
0.154596018735363,1.0,0.020595374
0.1546005445124272,1.0,0.020640476
0.1546050705544821,1.0,0.020660127
0.15460959686155107,1.0,0.020738533
0.15461412343365732,1.0,0.02075906
0.1546186502708242,1.0,0.020791026
0.15463223237292106,1.0,0.020806126
0.15463676027056308,1.0,0.020814925
0.15464128843338215,1.0,0.020850653
0.1546775232851034,1.0,0.02089613
0.15468205383556427,1.0,0.020995695
0.15468658465143525,1.0,0.021311874
0.1546911157327397,1.0,0.021318931
0.15469564707950084,1.0,0.021351434
0.1547001786917421,1.0,0.021370703
0.15470471056948676,1.0,0.021397324
0.15471377512157966,1.0,0.021398155
0.15471830779597456,1.0,0.021445459
0.15472737394157804,1.0,0.02145097
0.1547319074128333,1.0,0.02152204
0.15473644114975535,1.0,0.02152888
0.15474097515236757,1.0,0.021680513
0.1547455094206933,1.0,0.021726744
0.15475004395475592,1.0,0.021789767
0.15476818474884238,1.0,0.021823874
0.15477272061193986,1.0,0.021851858
0.15477725674091442,1.0,0.021870375
0.15478179313578944,1.0,0.021923864
0.15478632979658832,1.0,0.02198157
0.15479086672333442,1.0,0.022057971
0.15479540391605112,1.0,0.022068217
0.15479994137476183,1.0,0.022075273
0.15480447909948994,1.0,0.022086727
0.15481355534709193,1.0,0.022133281
0.1548180938700126,1.0,0.022171577
0.15482263265904428,1.0,0.022187937
0.15482717171421032,1.0,0.022190863
0.1548317110355342,1.0,0.022283016
0.15483625062303927,1.0,0.022361945
0.15484079047674895,1.0,0.022401191
0.1548453305966867,1.0,0.022409637
