fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0001893580761219466,0.9708069562911987
0.0,0.0007574323044877864,0.9653860330581665
6.864831468387451e-05,0.0007574323044877864,0.9631344079971313
6.864831468387451e-05,0.0009467903806097331,0.9630498290061951
0.00010297247202581176,0.0009467903806097331,0.9628071784973145
0.00010297247202581176,0.0018935807612194661,0.9593592882156372
0.00013729662936774902,0.0018935807612194661,0.9593237638473511
0.00013729662936774902,0.005491384207536452,0.9539404511451721
0.0001716207867096863,0.005491384207536452,0.9537992477416992
0.0001716207867096863,0.006627532664268131,0.9529602527618408
0.00020594494405162353,0.006627532664268131,0.9524943232536316
0.00020594494405162353,0.006816890740390077,0.9524641633033752
0.00027459325873549804,0.006816890740390077,0.952286958694458
0.00027459325873549804,0.007006248816512024,0.9521333575248718
0.0003432415734193726,0.007006248816512024,0.9517555832862854
0.0003432415734193726,0.0073849649687559174,0.9514386057853699
0.0003775657307613098,0.0073849649687559174,0.9513457417488098
0.0003775657307613098,0.00833175534936565,0.950600802898407
0.00041188988810324706,0.00833175534936565,0.950347363948822
0.00041188988810324706,0.008521113425487597,0.9499620795249939
0.0004462140454451843,0.008521113425487597,0.9496110677719116
0.0004462140454451843,0.009089187653853437,0.9488879442214966
0.0005148623601290588,0.009089187653853437,0.9486115574836731
0.0005148623601290588,0.00946790380609733,0.9481455683708191
0.0005491865174709961,0.00946790380609733,0.9480766654014587
0.0005491865174709961,0.009846619958341223,0.9478010535240173
0.0005835106748129334,0.009846619958341223,0.9477859735488892
0.0005835106748129334,0.010225336110585117,0.9475817680358887
0.0006178348321548706,0.010225336110585117,0.9475589990615845
0.0006178348321548706,0.010414694186707063,0.9472447037696838
0.0006521589894968079,0.010414694186707063,0.9472348690032959
0.0006521589894968079,0.010793410338950956,0.9470860362052917
0.0006864831468387451,0.010793410338950956,0.9470669627189636
0.0006864831468387451,0.011550842643438742,0.9461778998374939
0.0007208073041806823,0.011550842643438742,0.946078896522522
0.0007208073041806823,0.011929558795682636,0.9460296630859375
0.0007551314615226196,0.011929558795682636,0.9458721280097961
0.0007551314615226196,0.01230827494792653,0.9454835653305054
0.0009610764055742432,0.01230827494792653,0.9447359442710876
0.0009610764055742432,0.012497633024048476,0.9444950222969055
0.0009954005629161805,0.012497633024048476,0.9444751143455505
0.0009954005629161805,0.012876349176292368,0.9441949129104614
0.0010297247202581176,0.012876349176292368,0.9439641237258911
0.0010297247202581176,0.013065707252414316,0.9438144564628601
0.0010983730349419922,0.013065707252414316,0.9437061548233032
0.0010983730349419922,0.014769929937511835,0.943304717540741
0.0011670213496258667,0.014769929937511835,0.9432370662689209
0.0011670213496258667,0.015527362241999621,0.9427729249000549
0.001201345506967804,0.015527362241999621,0.9424967765808105
0.001201345506967804,0.015716720318121567,0.9424214959144592
0.0012699938216516784,0.015716720318121567,0.9421394467353821
0.0012699938216516784,0.015906078394243513,0.9419980049133301
0.0014072904510194274,0.015906078394243513,0.9411328434944153
0.0014072904510194274,0.01723158492709714,0.940879225730896
0.0014416146083613647,0.01723158492709714,0.9408251643180847
0.0014416146083613647,0.017420943003219086,0.9407433271408081
0.001475938765703302,0.017420943003219086,0.9407278895378113
0.001475938765703302,0.017610301079341036,0.9406782388687134
0.0015102629230452393,0.017610301079341036,0.9406402111053467
0.0015102629230452393,0.017989017231584928,0.9400622844696045
0.0016475595524129882,0.017989017231584928,0.9396010637283325
0.0016475595524129882,0.018557091459950766,0.9391865134239197
0.0017162078670968628,0.018557091459950766,0.9387658834457397
0.0017162078670968628,0.019314523764438554,0.9384433627128601
0.0017848561817807372,0.019314523764438554,0.938230037689209
0.0017848561817807372,0.0195038818405605,0.9382249116897583
0.0018535044964646118,0.0195038818405605,0.9380091428756714
0.0018535044964646118,0.019693239916682446,0.9378613233566284
0.001887828653806549,0.019693239916682446,0.9377964735031128
0.001887828653806549,0.019882597992804393,0.9377700090408325
0.001990801125832361,0.019882597992804393,0.9373080730438232
0.001990801125832361,0.02007195606892634,0.9372108578681946
0.0020251252831742983,0.02007195606892634,0.9371793270111084
0.0020251252831742983,0.020261314145048285,0.9369916319847107
0.0021280977552001097,0.020261314145048285,0.9367766380310059
0.0021280977552001097,0.021018746449536073,0.936072826385498
0.002162421912542047,0.021018746449536073,0.9358350038528442
0.002162421912542047,0.021776178754023857,0.9355893135070801
0.0021967460698839843,0.021776178754023857,0.9355846047401428
0.0021967460698839843,0.022533611058511645,0.9351213574409485
0.002265394384567859,0.022533611058511645,0.9350550770759583
0.002265394384567859,0.023101685286877484,0.9346925616264343
0.002299718541909796,0.023101685286877484,0.93462073802948
0.002299718541909796,0.023291043362999433,0.9345512986183167
0.002402691013935608,0.023291043362999433,0.9342264533042908
0.002402691013935608,0.024048475667487218,0.9339269995689392
0.002437015171277545,0.024048475667487218,0.9338181614875793
0.002437015171277545,0.024237833743609164,0.9336777329444885
0.0024713393286194822,0.024237833743609164,0.933667004108429
0.0024713393286194822,0.024995266048096952,0.9334192276000977
0.0025056634859614195,0.024995266048096952,0.9330746531486511
0.0025056634859614195,0.02632077258095058,0.9322466254234314
0.002539987643303357,0.02632077258095058,0.9322422742843628
0.002539987643303357,0.026888846809316417,0.9321961998939514
0.0026429601153291687,0.026888846809316417,0.9321265816688538
0.0026429601153291687,0.02745692103768226,0.9319619536399841
0.0027116084300130433,0.02745692103768226,0.9317240715026855
0.0027116084300130433,0.02840371141829199,0.9314283132553101
0.0027459325873549806,0.02840371141829199,0.931423544883728
0.0027459325873549806,0.028593069494413936,0.931372880935669
0.002780256744696918,0.028593069494413936,0.9312772154808044
0.002780256744696918,0.028782427570535882,0.9311978220939636
0.002848905059380792,0.028782427570535882,0.9310839176177979
0.002848905059380792,0.02897178564665783,0.9309967160224915
0.0029175533740646666,0.02897178564665783,0.9309495687484741
0.0029175533740646666,0.029161143722779777,0.9308713674545288
0.002951877531406604,0.029161143722779777,0.9306089878082275
0.002951877531406604,0.029729217951145616,0.9304474592208862
0.0029862016887485412,0.029729217951145616,0.9304470419883728
0.0029862016887485412,0.029918576027267562,0.9304218292236328
0.0030205258460904785,0.029918576027267562,0.9303752183914185
0.0030205258460904785,0.030107934103389508,0.9300022125244141
0.003054850003432416,0.030107934103389508,0.9298721551895142
0.003054850003432416,0.03124408256012119,0.9292516112327576
0.003089174160774353,0.03124408256012119,0.9292446374893188
0.003089174160774353,0.031433440636243135,0.92923903465271
0.0031234983181162904,0.031433440636243135,0.9292109608650208
0.0031234983181162904,0.031622798712365084,0.9290632009506226
0.0031921466328001646,0.031622798712365084,0.9289909601211548
0.0031921466328001646,0.032001514864608976,0.9288719296455383
0.003260794947484039,0.032001514864608976,0.928564190864563
0.003260794947484039,0.03219087294073092,0.9282047748565674
0.0033294432621679138,0.03219087294073092,0.9281370043754578
0.0033294432621679138,0.03238023101685287,0.9281005263328552
0.003363767419509851,0.03238023101685287,0.9280430674552917
0.003363767419509851,0.03275894716909676,0.9280135631561279
0.0034324157341937256,0.03275894716909676,0.927887499332428
0.0034324157341937256,0.033705737549706495,0.9275655746459961
0.003466739891535663,0.033705737549706495,0.9275591969490051
0.003466739891535663,0.03427381177807234,0.9271992444992065
0.0035353882062195375,0.03427381177807234,0.9271153211593628
0.0035353882062195375,0.03465252793031623,0.926998496055603
0.0036040365209034117,0.03465252793031623,0.926914632320404
0.0036040365209034117,0.03484188600643817,0.9269124865531921
0.0036726848355872863,0.03484188600643817,0.9268730282783508
0.0036726848355872863,0.03503124408256012,0.9267789721488953
0.0037070089929292236,0.03503124408256012,0.9267402291297913
0.0037070089929292236,0.03522060215868207,0.9267379641532898
0.003741333150271161,0.03522060215868207,0.9266761541366577
0.003741333150271161,0.03559931831092596,0.9264733195304871
0.0038443056222969728,0.03559931831092596,0.9260361790657043
0.0038443056222969728,0.0361673925392918,0.9259017705917358
0.003912953936980847,0.0361673925392918,0.925860583782196
0.003912953936980847,0.03692482484377959,0.9257999062538147
0.003947278094322784,0.03692482484377959,0.9257432818412781
0.003947278094322784,0.03711418291990153,0.9255332946777344
0.004015926409006659,0.03711418291990153,0.925407886505127
0.004015926409006659,0.03730354099602348,0.9252591729164124
0.004084574723690533,0.03730354099602348,0.9251935482025146
0.004084574723690533,0.03787161522438932,0.9250105619430542
0.00411889888103247,0.03787161522438932,0.9249688386917114
0.00411889888103247,0.038250331376633216,0.9247782230377197
0.004221871353058283,0.038250331376633216,0.9245092868804932
0.004221871353058283,0.03843968945275516,0.9245055913925171
0.004256195510400219,0.03843968945275516,0.9244760870933533
0.004256195510400219,0.03862904752887711,0.9243999719619751
0.004324843825084094,0.03862904752887711,0.9243794679641724
0.004324843825084094,0.03881840560499905,0.9243776798248291
0.004359167982426032,0.03881840560499905,0.9243482947349548
0.004359167982426032,0.03919712175724294,0.9243219494819641
0.004393492139767969,0.03919712175724294,0.9243206977844238
0.004393492139767969,0.039765195985608785,0.9242298603057861
0.004462140454451843,0.039765195985608785,0.9240943789482117
0.004462140454451843,0.04033327021397463,0.9239771962165833
0.00449646461179378,0.04033327021397463,0.9239292740821838
0.00449646461179378,0.04071198636621852,0.9238967299461365
0.004530788769135718,0.04071198636621852,0.923764169216156
0.004530788769135718,0.04090134444234047,0.9237158298492432
0.004565112926477655,0.04090134444234047,0.9236916303634644
0.004565112926477655,0.042226850975194095,0.9230569005012512
0.004599437083819592,0.042226850975194095,0.923012375831604
0.004599437083819592,0.04260556712743799,0.9228222370147705
0.004633761241161529,0.04260556712743799,0.9227434396743774
0.004633761241161529,0.04279492520355993,0.9226560592651367
0.004702409555845404,0.04279492520355993,0.9225354790687561
0.004702409555845404,0.04336299943192577,0.9222830533981323
0.0047367337131873416,0.04336299943192577,0.9222635626792908
0.0047367337131873416,0.043931073660291614,0.9221226572990417
0.004771057870529278,0.043931073660291614,0.9221048355102539
0.004771057870529278,0.04412043173641356,0.9221035242080688
0.004805382027871216,0.04412043173641356,0.9220954179763794
0.004805382027871216,0.04525658019314524,0.9218080639839172
0.004908354499897028,0.04525658019314524,0.92168790102005
0.004908354499897028,0.04620337057375497,0.9211750626564026
0.0049426786572389645,0.04620337057375497,0.9211580753326416
0.0049426786572389645,0.04639272864987692,0.9210683703422546
0.004977002814580902,0.04639272864987692,0.9210401177406311
0.004977002814580902,0.04696080287824276,0.9209029078483582
0.005011326971922839,0.04696080287824276,0.920795202255249
0.005011326971922839,0.0471501609543647,0.9207800030708313
0.005045651129264777,0.0471501609543647,0.9206965565681458
0.005045651129264777,0.047528877106608594,0.920596718788147
0.005079975286606714,0.047528877106608594,0.9205599427223206
0.005079975286606714,0.04847566748721833,0.9201696515083313
0.005114299443948651,0.04847566748721833,0.9201386570930481
0.005114299443948651,0.04866502556334028,0.9200599789619446
0.005148623601290588,0.04866502556334028,0.9200525879859924
0.005148623601290588,0.04885438363946222,0.919874906539917
0.005182947758632526,0.04885438363946222,0.9198172092437744
0.005182947758632526,0.04904374171558417,0.9197840690612793
0.005285920230658337,0.04904374171558417,0.9197179079055786
0.005285920230658337,0.04942245786782806,0.9195590019226074
0.005320244388000274,0.04942245786782806,0.9194329380989075
0.005320244388000274,0.04961181594395001,0.9194218516349792
0.005354568545342212,0.04961181594395001,0.9194096326828003
0.005354568545342212,0.05017989017231585,0.9191771149635315
0.005388892702684149,0.05017989017231585,0.9191175103187561
0.005388892702684149,0.05093732247680364,0.9188500046730042
0.005423216860026087,0.05093732247680364,0.9188127517700195
0.005423216860026087,0.05112668055292558,0.9187434315681458
0.0054575410173680235,0.05112668055292558,0.9186792373657227
0.0054575410173680235,0.052073470933535315,0.9184966683387756
0.005560513489393836,0.052073470933535315,0.918350875377655
0.005560513489393836,0.052262829009657265,0.9183486700057983
0.005594837646735773,0.052262829009657265,0.9182753562927246
0.005594837646735773,0.05264154516190116,0.9181093573570251
0.0056291618040777095,0.05264154516190116,0.9180989861488342
0.0056291618040777095,0.05302026131414505,0.9178801774978638
0.005663485961419647,0.05302026131414505,0.9178568720817566
0.005663485961419647,0.05358833554251089,0.9173868894577026
0.005903755062813208,0.05358833554251089,0.9170655012130737
0.005903755062813208,0.053777693618632834,0.9169747829437256
0.005938079220155146,0.053777693618632834,0.9169602990150452
0.005938079220155146,0.053967051694754783,0.9168599247932434
0.0059724033774970825,0.053967051694754783,0.9168561100959778
0.0059724033774970825,0.054156409770876726,0.9168376326560974
0.006006727534839019,0.054156409770876726,0.9167881608009338
0.006006727534839019,0.05453512592312062,0.916752278804779
0.006075375849522894,0.05453512592312062,0.9167116284370422
0.006075375849522894,0.05472448399924257,0.916682779788971
0.0061440241642067685,0.05472448399924257,0.9166294932365417
0.0061440241642067685,0.05491384207536452,0.9165875911712646
0.006178348321548706,0.05491384207536452,0.9164978861808777
0.006178348321548706,0.05548191630373035,0.9163719415664673
0.006212672478890643,0.05548191630373035,0.9163517355918884
0.006212672478890643,0.056049990532096194,0.9161905646324158
0.006315644950916455,0.056049990532096194,0.916102409362793
0.006315644950916455,0.05623934860821814,0.9161015152931213
0.006384293265600329,0.05623934860821814,0.9160043001174927
0.006384293265600329,0.056618064760462036,0.9159905910491943
0.006452941580284204,0.056618064760462036,0.9158781170845032
0.006452941580284204,0.05699678091270593,0.9158598780632019
0.006521589894968078,0.05699678091270593,0.9156908392906189
0.006521589894968078,0.05718613898882787,0.9156813621520996
0.006555914052310016,0.05718613898882787,0.9156601428985596
0.006555914052310016,0.05737549706494982,0.9156370759010315
0.006624562366993891,0.05737549706494982,0.9154620170593262
0.006624562366993891,0.058322287445559555,0.9152765274047852
0.006693210681677765,0.058322287445559555,0.9150130152702332
0.006693210681677765,0.05870100359780345,0.9148954749107361
0.006727534839019702,0.05870100359780345,0.914876401424408
0.006727534839019702,0.05889036167392539,0.914875328540802
0.006761858996361639,0.05889036167392539,0.9147463440895081
0.006761858996361639,0.05907971975004734,0.9147383570671082
0.006796183153703577,0.05907971975004734,0.914691686630249
0.006796183153703577,0.05926907782616929,0.9146270155906677
0.0068305073110455135,0.05926907782616929,0.914620041847229
0.0068305073110455135,0.060026510130657074,0.914479672908783
0.006933479783071326,0.060026510130657074,0.9144279360771179
0.006933479783071326,0.060215868206779016,0.9143354296684265
0.006967803940413263,0.060215868206779016,0.9143220782279968
0.006967803940413263,0.06078394243514486,0.9142976999282837
0.0070021280977552005,0.06078394243514486,0.9142855405807495
0.0070021280977552005,0.06154137473963264,0.914192259311676
0.007070776412439075,0.06154137473963264,0.9141213297843933
0.007070776412439075,0.06248816512024238,0.9137649536132812
0.007139424727122949,0.06248816512024238,0.913599967956543
0.007139424727122949,0.06305623934860821,0.9134248495101929
0.0071737488844648865,0.06305623934860821,0.9133395552635193
0.0071737488844648865,0.06324559742473017,0.9133105874061584
0.007208073041806823,0.06324559742473017,0.9132537245750427
0.007208073041806823,0.06362431357697405,0.9132349491119385
0.007242397199148761,0.06362431357697405,0.9132338166236877
0.007242397199148761,0.06400302972921795,0.9131349921226501
0.007311045513832636,0.06400302972921795,0.9130815267562866
0.007311045513832636,0.0645711039575838,0.9129560589790344
0.0073453696711745725,0.0645711039575838,0.9129213690757751
0.0073453696711745725,0.06494982010982768,0.9128556251525879
0.00737969382851651,0.06494982010982768,0.9128036499023438
0.00737969382851651,0.06513917818594964,0.9127402901649475
0.007414017985858447,0.06513917818594964,0.9126301407814026
0.007414017985858447,0.06532853626207158,0.912615180015564
0.007448342143200384,0.06532853626207158,0.9125938415527344
0.007448342143200384,0.06570725241431546,0.912564218044281
0.007482666300542322,0.06570725241431546,0.9124513864517212
0.007482666300542322,0.06589661049043742,0.9124472141265869
0.007516990457884259,0.06589661049043742,0.9124072194099426
0.007516990457884259,0.06608596856655936,0.9123762249946594
0.007551314615226196,0.06608596856655936,0.9123318791389465
0.007551314615226196,0.0662753266426813,0.9122921824455261
0.007585638772568133,0.0662753266426813,0.912246584892273
0.007585638772568133,0.06703275894716909,0.9121467471122742
0.007619962929910071,0.06703275894716909,0.9121273159980774
0.007619962929910071,0.06722211702329105,0.9121113419532776
0.007654287087252008,0.06722211702329105,0.9120534658432007
0.007654287087252008,0.06797954932777883,0.9118160009384155
0.0076886112445939455,0.06797954932777883,0.9117899537086487
0.0076886112445939455,0.06854762355614467,0.9117241501808167
0.007722935401935882,0.06854762355614467,0.9117019772529602
0.007722935401935882,0.06911569778451052,0.911444902420044
0.00775725955927782,0.06911569778451052,0.911439836025238
0.00775725955927782,0.0698731300889983,0.9113537073135376
0.007963204503329444,0.0698731300889983,0.911146342754364
0.007963204503329444,0.07006248816512024,0.9111161231994629
0.00799752866067138,0.07006248816512024,0.9109898805618286
0.00799752866067138,0.07025184624124219,0.9109178781509399
0.008031852818013318,0.07025184624124219,0.9108676314353943
0.008031852818013318,0.07063056239348608,0.9107789993286133
0.008066176975355254,0.07063056239348608,0.9107060432434082
0.008066176975355254,0.07157735277409581,0.9104568362236023
0.008100501132697193,0.07157735277409581,0.9104076623916626
0.008100501132697193,0.07252414315470555,0.9101890325546265
0.008169149447381067,0.07252414315470555,0.9100049138069153
0.008169149447381067,0.0727135012308275,0.9099969863891602
0.00823779776206494,0.0727135012308275,0.9098565578460693
0.00823779776206494,0.07309221738307138,0.9098156094551086
0.008272121919406879,0.07309221738307138,0.9097142815589905
0.008272121919406879,0.07328157545919334,0.9095832705497742
0.008306446076748816,0.07328157545919334,0.9094519019126892
0.008306446076748816,0.07366029161143722,0.9093915820121765
0.008340770234090753,0.07366029161143722,0.9093829989433289
0.008340770234090753,0.07441772391592501,0.9092180728912354
0.00837509439143269,0.07441772391592501,0.9092013239860535
0.00837509439143269,0.07460708199204696,0.9091788530349731
0.008478066863458502,0.07460708199204696,0.9089576005935669
0.008478066863458502,0.0747964400681689,0.9089332818984985
0.008649687650168188,0.0747964400681689,0.9086436033248901
0.008649687650168188,0.07536451429653475,0.908540666103363
0.008684011807510125,0.07536451429653475,0.9085087180137634
