feature,importance,rank
text__proof delivery,1.6925652744683415,184
text__week told,1.6914998371027612,185
text__chase charges,1.6911359164234276,186
text__explanation contacted,1.691046315083254,187
text__forcefully,1.6905834528014558,188
text__refunded dollars,1.6902745649666264,189
text__return card,1.6893813136414724,190
text__provide credit,1.6887692751447223,191
text__just given,1.6868980277294439,192
text__representatives repeatedly,1.6856896832190986,193
text__teller branch,1.6813985437224306,194
text__draw,1.680558657939631,195
text__citizensbank,1.6804425201133757,196
text__foreign exchange,1.6791173004834998,197
text__logic,1.677211115631969,198
text__scanner,1.6764215231051178,199
text__fargo regarding,1.675452845277164,200
text__just don,1.6749973997234682,201
text__contact company,1.6696759265316834,202
text__fulfilled requirement,1.6688979470018444,203
text__automatically applied,1.6674042989507012,204
text__used years,1.6662860659970211,205
text__hello thank,1.6660602841286072,206
text__reflect account,1.6642643376930288,207
text__know getting,1.6618645297535721,208
text__cover pending,1.6614049863137756,209
text__came stated,1.6610221347424625,210
text__chase let,1.6596845283829345,211
text__claim notified,1.6593630973016458,212
text__transfer sent,1.6586513664544844,213
text__immediately want,1.6575362498670507,214
text__just fine,1.6559430558438886,215
text__crooked,1.6532429472873211,216
text__america regarding,1.6530220770434148,217
text__year customer,1.6525297577244684,218
text__left accounts,1.6516016478710234,219
text__account explaining,1.6512253313953078,220
text__withdrawals occurred,1.651169347677783,221
text__day need,1.6502856320535564,222
text__funds stated,1.6500964050349398,223
text__atm froze,1.64988197735604,224
text__dispute pnc,1.6469235063812337,225
text__help matter,1.6461485011286674,226
text__fraud customers,1.64601582704413,227
text__ira cd,1.6457273544201738,228
text__asked legal,1.643603255228577,229
text__tell transfer,1.6425834255175416,230
text__deposit atm,1.6416731860240608,231
text__friend bank,1.640623996491537,232
text__know time,1.6403623064433055,233
text__company got,1.6378075245114243,234
text__time waiting,1.636782242932637,235
text__getting ready,1.6362275864644147,236
text__time times,1.635580646893395,237
text__deposit set,1.6317924088439613,238
text__broken promises,1.6316962410937992,239
text__immediate help,1.6311686485352048,240
text__just asked,1.630401358827719,241
text__service filed,1.6291673686921104,242
text__il il,1.6282595966809983,243
text__lost car,1.6273737020103598,244
text__times did,1.626493498193484,245
text__representative advised,1.6252229027405722,246
text__months time,1.625173562259046,247
text__days thats,1.6250008833794354,248
text__case received,1.6228021730126914,249
text__letter information,1.6223669017206892,250
text__funds fraudulently,1.6221659449112147,251
text__different things,1.6202250459081842,252
text__tests,1.6197041827503873,253
text__snow,1.6195183102616748,254
text__card information,1.6194758646211924,255
text__fraudulent act,1.6193591636725584,256
text__make change,1.618353000787834,257
text__closed today,1.61786144442899,258
text__asked case,1.6163104470419187,259
text__going received,1.6161169353016525,260
text__proof deposits,1.614766165317675,261
text__teller said,1.6141711680521094,262
text__pay items,1.6135703948063311,263
text__charge,1.6110474872083056,264
text__bbva compass,1.6090562489488531,265
text__old number,1.6089988022427424,266
text__account plan,1.607600858869219,267
text__imposed,1.6065279923384477,268
text__used capital,1.606238086978348,269
text__want reimbursed,1.605514978678997,270
text__asking send,1.6047421867349807,271
text__recorded line,1.6045965584104127,272
text__boa atm,1.6038013193142757,273
text__prey,1.6036518390468961,274
text__banking app,1.6022729898700627,275
text__legal process,1.5993076825367094,276
